meter_id	timestamp	kwh	temp_c
M2000	2024-01-04 2:00	0.9452	-4.3
M2000	2024-01-04 3:00	0.8679	-5.1
M2000	2024-01-04 4:00	0.938	-5.9
M2000	2024-01-04 5:00	1.3183	-6.6
M2000	2024-01-04 6:00	1.792	-7.2
M2000	2024-01-04 7:00	2.4319	-7.7
M2000	2024-01-04 8:00	2.2212	-8
M2000	2024-01-04 9:00	1.5875	-8.1
M2000	2024-01-04 10:00	1.4326	-8
M2000	2024-01-04 11:00	1.5442	-7.7
M2000	2024-01-04 12:00	1.6774	-7.2
M2000	2024-01-04 13:00	1.5124	-6.6
M2000	2024-01-04 14:00	1.4007	-5.9
M2000	2024-01-04 15:00	1.4651	-5.1
M2000	2024-01-04 16:00	1.3979	-4.3
M2000	2024-01-04 17:00	1.9892	-3.6
M2000	2024-01-04 18:00	3.0262	-3
M2000	2024-01-04 19:00	3.0312	-2.5
M2000	2024-01-04 20:00	2.7058	-2.2
M2000	2024-01-04 21:00	2.2431	-2.1
M2000	2024-01-04 22:00	1.7052	-2.2
M2000	2024-01-04 23:00	1.2911	-2.5
M2000	2024-01-05 0:00	0.902	-2.5
M2000	2024-01-05 1:00	0.9042	-3.1
M2000	2024-01-05 2:00	0.9755	-3.8
M2000	2024-01-05 3:00	0.8439	-4.6
M2000	2024-01-05 4:00	1.0383	-5.4
M2000	2024-01-05 5:00	1.2263	-6.1
M2000	2024-01-05 6:00	1.6612	-6.7
M2000	2024-01-05 7:00	2.2916	-7.2
M2000	2024-01-05 8:00	1.8286	-7.5
M2000	2024-01-05 9:00	1.7155	-7.6
M2000	2024-01-05 10:00	1.351	-7.5
M2000	2024-01-05 11:00	1.6884	-7.2
M2000	2024-01-05 12:00	1.6546	-6.7
M2000	2024-01-05 13:00	1.2056	-6.1
M2000	2024-01-05 14:00	1.452	-5.4
M2000	2024-01-05 15:00	1.5568	-4.6
M2000	2024-01-05 16:00	1.4822	-3.8
M2000	2024-01-05 17:00	2.2739	-3.1
M2000	2024-01-05 18:00	2.523	-2.5
M2000	2024-01-05 19:00	3.295	-2
M2000	2024-01-05 20:00	2.5922	-1.7
M2000	2024-01-05 21:00	2.5433	-1.6
M2000	2024-01-05 22:00	1.5555	-1.7
M2000	2024-01-05 23:00	1.0198	-2
M2000	2024-01-06 0:00	1.1095	-3
M2000	2024-01-06 1:00	1.1491	-3.6
M2000	2024-01-06 2:00	0.8951	-4.3
M2000	2024-01-06 3:00	0.9962	-5.1
M2000	2024-01-06 4:00	1.0396	-5.9
M2000	2024-01-06 5:00	1.2767	-6.6
M2000	2024-01-06 6:00	2.093	-7.2
M2000	2024-01-06 7:00	2.8933	-7.7
M2000	2024-01-06 8:00	1.9546	-8
M2000	2024-01-06 9:00	1.8461	-8.1
M2000	2024-01-06 10:00	1.6716	-8
M2000	2024-01-06 11:00	1.4788	-7.7
M2000	2024-01-06 12:00	1.9521	-7.2
M2000	2024-01-06 13:00	1.8179	-6.6
M2000	2024-01-06 14:00	1.3803	-5.9
M2000	2024-01-06 15:00	1.7255	-5.1
M2000	2024-01-06 16:00	1.7391	-4.3
M2000	2024-01-06 17:00	2.2768	-3.6
M2000	2024-01-06 18:00	3.6142	-3
M2000	2024-01-06 19:00	3.6008	-2.5
M2000	2024-01-06 20:00	3.3583	-2.2
M2000	2024-01-06 21:00	3.0073	-2.1
M2000	2024-01-06 22:00	2.1924	-2.2
M2000	2024-01-06 23:00	1.5157	-2.5
M2000	2024-01-07 0:00	0.9098	-0.6
M2000	2024-01-07 1:00	0.8099	-1.2
M2000	2024-01-07 2:00	0.9784	-1.9
M2000	2024-01-07 3:00	0.8271	-2.7
M2000	2024-01-07 4:00	0.9984	-3.5
M2000	2024-01-07 5:00	1.1483	-4.2
M2000	2024-01-07 6:00	1.8858	-4.8
M2000	2024-01-07 7:00	2.2042	-5.3
M2000	2024-01-07 8:00	2.3551	-5.6
M2000	2024-01-07 9:00	1.5587	-5.7
M2000	2024-01-07 10:00	1.5473	-5.6
M2000	2024-01-07 11:00	1.5783	-5.3
M2000	2024-01-07 12:00	1.8187	-4.8
M2000	2024-01-07 13:00	1.3363	-4.2
M2000	2024-01-07 14:00	1.4269	-3.5
M2000	2024-01-07 15:00	1.4244	-2.7
M2000	2024-01-07 16:00	1.7235	-1.9
M2000	2024-01-07 17:00	2.2835	-1.2
M2000	2024-01-07 18:00	2.9598	-0.6
M2000	2024-01-07 19:00	3.4308	-0.1
M2000	2024-01-07 20:00	3.021	0.2
M2000	2024-01-07 21:00	2.6462	0.3
M2000	2024-01-07 22:00	1.8753	0.2
M2000	2024-01-07 23:00	1.2759	-0.1
M2000	2024-01-08 0:00	0.9641	-1.9
M2000	2024-01-08 1:00	0.8986	-2.5
M2000	2024-01-08 2:00	1.0013	-3.3
M2000	2024-01-08 3:00	0.8077	-4
M2000	2024-01-08 4:00	0.9507	-4.8
M2000	2024-01-08 5:00	1.319	-5.5
M2000	2024-01-08 6:00	1.5027	-6.2
M2000	2024-01-08 7:00	1.9841	-6.6
M2000	2024-01-08 8:00	1.7699	-6.9
M2000	2024-01-08 9:00	1.5785	-7
M2000	2024-01-08 10:00	1.7532	-6.9
M2000	2024-01-08 11:00	1.5518	-6.6
M2000	2024-01-08 12:00	1.713	-6.2
M2000	2024-01-08 13:00	1.3917	-5.5
M2000	2024-01-08 14:00	1.0803	-4.8
M2000	2024-01-08 15:00	1.111	-4
M2000	2024-01-08 16:00	1.6887	-3.3
M2000	2024-01-08 17:00	2.1045	-2.5
M2000	2024-01-08 18:00	2.5977	-1.9
M2000	2024-01-08 19:00	3.4602	-1.4
M2000	2024-01-08 20:00	2.5776	-1.1
M2000	2024-01-08 21:00	2.6263	-1
M2000	2024-01-08 22:00	1.9919	-1.1
M2000	2024-01-08 23:00	1.1928	-1.4
M2000	2024-01-09 0:00	0.8367	-0.1
M2000	2024-01-09 1:00	0.8864	-0.7
M2000	2024-01-09 2:00	0.7362	-1.5
M2000	2024-01-09 3:00	0.8563	-2.2
M2000	2024-01-09 4:00	0.8005	-3
M2000	2024-01-09 5:00	1.2	-3.7
M2000	2024-01-09 6:00	1.735	-4.4
M2000	2024-01-09 7:00	2.1276	-4.8
M2000	2024-01-09 8:00	1.7362	-5.1
M2000	2024-01-09 9:00	1.5523	-5.2
M2000	2024-01-09 10:00	1.1903	-5.1
M2000	2024-01-09 11:00	1.4066	-4.8
M2000	2024-01-09 12:00	1.4451	-4.4
M2000	2024-01-09 13:00	1.426	-3.7
M2000	2024-01-09 14:00	1.1547	-3
M2000	2024-01-09 15:00	1.4772	-2.2
M2000	2024-01-09 16:00	1.4494	-1.5
M2000	2024-01-09 17:00	1.7925	-0.7
M2000	2024-01-09 18:00	3.0596	-0.1
M2000	2024-01-09 19:00	3.4168	0.4
M2000	2024-01-09 20:00	2.7477	0.7
M2000	2024-01-09 21:00	2.1217	0.8
M2000	2024-01-09 22:00	1.6958	0.7
M2000	2024-01-09 23:00	1.1396	0.4
M2000	2024-01-10 0:00	1.044	-5.8
M2000	2024-01-10 1:00	1.0865	-6.4
M2000	2024-01-10 2:00	0.9628	-7.1
M2000	2024-01-10 3:00	0.9374	-7.9
M2000	2024-01-10 4:00	1.049	-8.7
M2000	2024-01-10 5:00	1.2908	-9.4
M2000	2024-01-10 6:00	2.1048	-10
M2000	2024-01-10 7:00	2.7038	-10.5
M2000	2024-01-10 8:00	2.0782	-10.8
M2000	2024-01-10 9:00	1.7585	-10.9
M2000	2024-01-10 10:00	1.9163	-10.8
M2000	2024-01-10 11:00	1.7042	-10.5
M2000	2024-01-10 12:00	1.6837	-10
M2000	2024-01-10 13:00	1.8113	-9.4
M2000	2024-01-10 14:00	1.4813	-8.7
M2000	2024-01-10 15:00	1.3707	-7.9
M2000	2024-01-10 16:00	1.8125	-7.1
M2000	2024-01-10 17:00	2.1292	-6.4
M2000	2024-01-10 18:00	3.0844	-5.8
M2000	2024-01-10 19:00	3.6164	-5.3
M2000	2024-01-10 20:00	3.2314	-5
M2000	2024-01-10 21:00	2.5113	-4.9
M2000	2024-01-10 22:00	1.8946	-5
M2000	2024-01-10 23:00	1.3429	-5.3
M2000	2024-01-11 0:00	0.9481	1.8
M2000	2024-01-11 1:00	0.7421	1.1
M2000	2024-01-11 2:00	0.729	0.4
M2000	2024-01-11 3:00	0.8856	-0.4
M2000	2024-01-11 4:00	0.8027	-1.1
M2000	2024-01-11 5:00	1.2016	-1.9
M2000	2024-01-11 6:00	1.8096	-2.5
M2000	2024-01-11 7:00	2.0764	-3
M2000	2024-01-11 8:00	1.5818	-3.3
M2000	2024-01-11 9:00	1.5064	-3.4
M2000	2024-01-11 10:00	1.4104	-3.3
M2000	2024-01-11 11:00	1.4781	-3
M2000	2024-01-11 12:00	1.4271	-2.5
M2000	2024-01-11 13:00	1.4125	-1.9
M2000	2024-01-11 14:00	1.3533	-1.1
M2000	2024-01-11 15:00	1.1307	-0.4
M2000	2024-01-11 16:00	1.5682	0.4
M2000	2024-01-11 17:00	1.8964	1.1
M2000	2024-01-11 18:00	2.4838	1.8
M2000	2024-01-11 19:00	2.7822	2.2
M2000	2024-01-11 20:00	3.0361	2.5
M2000	2024-01-11 21:00	2.3316	2.6
M2000	2024-01-11 22:00	1.3732	2.5
M2000	2024-01-11 23:00	1.1496	2.2
M2000	2024-01-12 0:00	0.9555	-1.9
M2000	2024-01-12 1:00	0.8609	-2.5
M2000	2024-01-12 2:00	0.8107	-3.2
M2000	2024-01-12 3:00	0.7428	-4
M2000	2024-01-12 4:00	0.9919	-4.8
M2000	2024-01-12 5:00	1.092	-5.5
M2000	2024-01-12 6:00	1.7447	-6.1
M2000	2024-01-12 7:00	2.1945	-6.6
M2000	2024-01-12 8:00	1.842	-6.9
M2000	2024-01-12 9:00	1.6877	-7
M2000	2024-01-12 10:00	1.5119	-6.9
M2000	2024-01-12 11:00	1.4236	-6.6
M2000	2024-01-12 12:00	1.4404	-6.1
M2000	2024-01-12 13:00	1.3637	-5.5
M2000	2024-01-12 14:00	1.4496	-4.8
M2000	2024-01-12 15:00	1.3771	-4
M2000	2024-01-12 16:00	1.5863	-3.2
M2000	2024-01-12 17:00	2.0194	-2.5
M2000	2024-01-12 18:00	2.839	-1.9
M2000	2024-01-12 19:00	3.2313	-1.4
M2000	2024-01-12 20:00	2.506	-1.1
M2000	2024-01-12 21:00	2.7183	-1
M2000	2024-01-12 22:00	1.6723	-1.1
M2000	2024-01-12 23:00	1.2128	-1.4
M2000	2024-01-13 0:00	1.0977	-0.1
M2000	2024-01-13 1:00	0.9127	-0.7
M2000	2024-01-13 2:00	0.8744	-1.5
M2000	2024-01-13 3:00	0.8248	-2.2
M2000	2024-01-13 4:00	0.8365	-3
M2000	2024-01-13 5:00	1.2354	-3.7
M2000	2024-01-13 6:00	2.0324	-4.3
M2000	2024-01-13 7:00	2.2089	-4.8
M2000	2024-01-13 8:00	2.24	-5.1
M2000	2024-01-13 9:00	1.4969	-5.2
M2000	2024-01-13 10:00	1.4259	-5.1
M2000	2024-01-13 11:00	1.6162	-4.8
M2000	2024-01-13 12:00	1.6077	-4.3
M2000	2024-01-13 13:00	1.5416	-3.7
M2000	2024-01-13 14:00	1.3038	-3
M2000	2024-01-13 15:00	1.2872	-2.2
M2000	2024-01-13 16:00	1.3656	-1.5
M2000	2024-01-13 17:00	1.9247	-0.7
M2000	2024-01-13 18:00	2.7185	-0.1
M2000	2024-01-13 19:00	2.8851	0.4
M2000	2024-01-13 20:00	3.0871	0.7
M2000	2024-01-13 21:00	2.3363	0.8
M2000	2024-01-13 22:00	1.5382	0.7
M2000	2024-01-13 23:00	1.5616	0.4
M2000	2024-01-14 0:00	0.9919	-1.9
M2000	2024-01-14 1:00	0.864	-2.5
M2000	2024-01-14 2:00	1.0221	-3.2
M2000	2024-01-14 3:00	1.011	-4
M2000	2024-01-14 4:00	0.9267	-4.8
M2000	2024-01-14 5:00	1.1457	-5.5
M2000	2024-01-14 6:00	1.8195	-6.1
M2000	2024-01-14 7:00	2.7654	-6.6
M2000	2024-01-14 8:00	2.0979	-6.9
M2000	2024-01-14 9:00	1.6389	-7
M2000	2024-01-14 10:00	1.6099	-6.9
M2000	2024-01-14 11:00	1.8147	-6.6
M2000	2024-01-14 12:00	1.5235	-6.1
M2000	2024-01-14 13:00	1.5107	-5.5
M2000	2024-01-14 14:00	1.3163	-4.8
M2000	2024-01-14 15:00	1.7603	-4
M2000	2024-01-14 16:00	1.9622	-3.2
M2000	2024-01-14 17:00	2.4548	-2.5
M2000	2024-01-14 18:00	3.1547	-1.9
M2000	2024-01-14 19:00	3.6782	-1.4
M2000	2024-01-14 20:00	2.6897	-1.1
M2000	2024-01-14 21:00	2.7071	-1
M2000	2024-01-14 22:00	1.7533	-1.1
M2000	2024-01-14 23:00	1.2495	-1.4
M2001	2024-01-01 0:00	0.5121	-1.8
M2001	2024-01-01 1:00	0.5069	-2.4
M2001	2024-01-01 2:00	0.5418	-3.1
M2001	2024-01-01 3:00	0.4923	-3.9
M2001	2024-01-01 4:00	0.5419	-4.7
M2001	2024-01-01 5:00	0.6959	-5.4
M2001	2024-01-01 6:00	1.0883	-6
M2001	2024-01-01 7:00	1.275	-6.5
M2001	2024-01-01 8:00	1.2235	-6.8
M2001	2024-01-01 9:00	0.9455	-6.9
M2001	2024-01-01 10:00	0.8906	-6.8
M2001	2024-01-01 11:00	0.9351	-6.5
M2001	2024-01-01 12:00	0.9698	-6
M2001	2024-01-01 13:00	0.8963	-5.4
M2001	2024-01-01 14:00	0.7463	-4.7
M2001	2024-01-01 15:00	0.8418	-3.9
M2001	2024-01-01 16:00	0.8135	-3.1
M2001	2024-01-01 17:00	1.0301	-2.4
M2001	2024-01-01 18:00	1.6735	-1.8
M2001	2024-01-01 19:00	1.9502	-1.3
M2001	2024-01-01 20:00	1.8144	-1
M2001	2024-01-01 21:00	1.4722	-0.9
M2001	2024-01-01 22:00	1.1322	-1
M2001	2024-01-01 23:00	0.6502	-1.3
M2001	2024-01-02 0:00	0.5053	1.1
M2001	2024-01-02 1:00	0.4694	0.5
M2001	2024-01-02 2:00	0.4339	-0.2
M2001	2024-01-02 3:00	0.4736	-1
M2001	2024-01-02 4:00	0.5339	-1.8
M2001	2024-01-02 5:00	0.6664	-2.5
M2001	2024-01-02 6:00	1.0008	-3.1
M2001	2024-01-02 7:00	1.5051	-3.6
M2001	2024-01-02 8:00	1.0873	-3.9
M2001	2024-01-02 9:00	0.8824	-4
M2001	2024-01-02 10:00	0.8884	-3.9
M2001	2024-01-02 11:00	0.9503	-3.6
M2001	2024-01-02 12:00	0.7988	-3.1
M2001	2024-01-02 13:00	0.7204	-2.5
M2001	2024-01-02 14:00	0.8195	-1.8
M2001	2024-01-02 15:00	0.8156	-1
M2001	2024-01-02 16:00	0.9116	-0.2
M2001	2024-01-02 17:00	1.1137	0.5
M2001	2024-01-02 18:00	1.6684	1.1
M2001	2024-01-02 19:00	1.5444	1.6
M2001	2024-01-02 20:00	1.4611	1.9
M2001	2024-01-02 21:00	1.4751	2
M2001	2024-01-02 22:00	0.8788	1.9
M2001	2024-01-02 23:00	0.6859	1.6
M2001	2024-01-03 0:00	0.56	0.8
M2001	2024-01-03 1:00	0.4947	0.2
M2001	2024-01-03 2:00	0.4281	-0.5
M2001	2024-01-03 3:00	0.4448	-1.3
M2001	2024-01-03 4:00	0.539	-2.1
M2001	2024-01-03 5:00	0.6343	-2.8
M2001	2024-01-03 6:00	1.1302	-3.4
M2001	2024-01-03 7:00	1.2708	-3.9
M2001	2024-01-03 8:00	1.2456	-4.2
M2001	2024-01-03 9:00	0.8869	-4.3
M2001	2024-01-03 10:00	0.8964	-4.2
M2001	2024-01-03 11:00	0.8669	-3.9
M2001	2024-01-03 12:00	0.8718	-3.4
M2001	2024-01-03 13:00	0.7041	-2.8
M2001	2024-01-03 14:00	0.7807	-2.1
M2001	2024-01-03 15:00	0.7601	-1.3
M2001	2024-01-03 16:00	0.8855	-0.5
M2001	2024-01-03 17:00	1.0967	0.2
M2001	2024-01-03 18:00	1.4806	0.8
M2001	2024-01-03 19:00	1.6169	1.3
M2001	2024-01-03 20:00	1.604	1.6
M2001	2024-01-03 21:00	1.4189	1.7
M2001	2024-01-03 22:00	0.9551	1.6
M2001	2024-01-03 23:00	0.6382	1.3
M2001	2024-01-04 0:00	0.5539	-3
M2001	2024-01-04 1:00	0.487	-3.6
M2001	2024-01-04 2:00	0.4514	-4.3
M2001	2024-01-04 3:00	0.499	-5.1
M2001	2024-01-04 4:00	0.5381	-5.9
M2001	2024-01-04 5:00	0.701	-6.6
M2001	2024-01-04 6:00	1.2612	-7.2
M2001	2024-01-04 7:00	1.5125	-7.7
M2001	2024-01-04 8:00	1.3309	-8
M2001	2024-01-04 9:00	0.9753	-8.1
M2001	2024-01-04 10:00	0.9153	-8
M2001	2024-01-04 11:00	0.8621	-7.7
M2001	2024-01-04 12:00	0.8211	-7.2
M2001	2024-01-04 13:00	0.7593	-6.6
M2001	2024-01-04 14:00	0.7999	-5.9
M2001	2024-01-04 15:00	0.8661	-5.1
M2001	2024-01-04 16:00	1.1221	-4.3
M2001	2024-01-04 17:00	1.2641	-3.6
M2001	2024-01-04 18:00	1.5645	-3
M2001	2024-01-04 19:00	1.8916	-2.5
M2001	2024-01-04 20:00	1.8764	-2.2
M2001	2024-01-04 21:00	1.3437	-2.1
M2001	2024-01-04 22:00	1.0542	-2.2
M2001	2024-01-04 23:00	0.8107	-2.5
M2001	2024-01-05 0:00	0.5904	-2.5
M2001	2024-01-05 1:00	0.5467	-3.1
M2001	2024-01-05 2:00	0.5143	-3.8
M2001	2024-01-05 3:00	0.5081	-4.6
M2001	2024-01-05 4:00	0.6219	-5.4
M2001	2024-01-05 5:00	0.7653	-6.1
M2001	2024-01-05 6:00	1.1099	-6.7
M2001	2024-01-05 7:00	1.4535	-7.2
M2001	2024-01-05 8:00	1.179	-7.5
M2001	2024-01-05 9:00	0.9604	-7.6
M2001	2024-01-05 10:00	0.9169	-7.5
M2001	2024-01-05 11:00	0.9266	-7.2
M2001	2024-01-05 12:00	1.1331	-6.7
M2001	2024-01-05 13:00	0.8763	-6.1
M2001	2024-01-05 14:00	0.8435	-5.4
M2001	2024-01-05 15:00	0.9662	-4.6
M2001	2024-01-05 16:00	0.8783	-3.8
M2001	2024-01-05 17:00	1.2724	-3.1
M2001	2024-01-05 18:00	1.9378	-2.5
M2001	2024-01-05 19:00	1.9661	-2
M2001	2024-01-05 20:00	1.7844	-1.7
M2001	2024-01-05 21:00	1.3713	-1.6
M2001	2024-01-05 22:00	1.0887	-1.7
M2001	2024-01-05 23:00	0.7311	-2
M2001	2024-01-06 0:00	0.6966	-3
M2001	2024-01-06 1:00	0.6075	-3.6
M2001	2024-01-06 2:00	0.5504	-4.3
M2001	2024-01-06 3:00	0.61	-5.1
M2001	2024-01-06 4:00	0.5685	-5.9
M2001	2024-01-06 5:00	0.7325	-6.6
M2001	2024-01-06 6:00	1.2644	-7.2
M2001	2024-01-06 7:00	1.5653	-7.7
M2001	2024-01-06 8:00	1.1838	-8
M2001	2024-01-06 9:00	0.9966	-8.1
M2001	2024-01-06 10:00	0.9568	-8
M2001	2024-01-06 11:00	0.9497	-7.7
M2001	2024-01-06 12:00	1.0522	-7.2
M2001	2024-01-06 13:00	0.9339	-6.6
M2001	2024-01-06 14:00	0.9289	-5.9
M2001	2024-01-06 15:00	0.9026	-5.1
M2001	2024-01-06 16:00	1.0655	-4.3
M2001	2024-01-06 17:00	1.3351	-3.6
M2001	2024-01-06 18:00	1.9897	-3
M2001	2024-01-06 19:00	2.1749	-2.5
M2001	2024-01-06 20:00	2.0673	-2.2
M2001	2024-01-06 21:00	1.649	-2.1
M2001	2024-01-06 22:00	1.1539	-2.2
M2001	2024-01-06 23:00	0.8427	-2.5
M2001	2024-01-07 0:00	0.6753	-0.6
M2001	2024-01-07 1:00	0.5434	-1.2
M2001	2024-01-07 2:00	0.5402	-1.9
M2001	2024-01-07 3:00	0.6006	-2.7
M2001	2024-01-07 4:00	0.6201	-3.5
M2001	2024-01-07 5:00	0.7922	-4.2
M2001	2024-01-07 6:00	1.0676	-4.8
M2001	2024-01-07 7:00	1.3679	-5.3
M2001	2024-01-07 8:00	1.2747	-5.6
M2001	2024-01-07 9:00	1.1832	-5.7
M2001	2024-01-07 10:00	0.8051	-5.6
M2001	2024-01-07 11:00	0.834	-5.3
M2001	2024-01-07 12:00	1.0361	-4.8
M2001	2024-01-07 13:00	0.9202	-4.2
M2001	2024-01-07 14:00	0.7912	-3.5
M2001	2024-01-07 15:00	0.9275	-2.7
M2001	2024-01-07 16:00	1.0039	-1.9
M2001	2024-01-07 17:00	1.2676	-1.2
M2001	2024-01-07 18:00	1.8269	-0.6
M2001	2024-01-07 19:00	1.9291	-0.1
M2001	2024-01-07 20:00	1.9065	0.2
M2001	2024-01-07 21:00	1.4424	0.3
M2001	2024-01-07 22:00	1.0317	0.2
M2001	2024-01-07 23:00	0.7603	-0.1
M2001	2024-01-08 0:00	0.5941	-1.9
M2001	2024-01-08 1:00	0.5675	-2.5
M2001	2024-01-08 2:00	0.4819	-3.3
M2001	2024-01-08 3:00	0.463	-4
M2001	2024-01-08 4:00	0.5674	-4.8
M2001	2024-01-08 5:00	0.7667	-5.5
M2001	2024-01-08 6:00	1.0459	-6.2
M2001	2024-01-08 7:00	1.5396	-6.6
M2001	2024-01-08 8:00	1.0991	-6.9
M2001	2024-01-08 9:00	1.0578	-7
M2001	2024-01-08 10:00	0.924	-6.9
M2001	2024-01-08 11:00	0.7821	-6.6
M2001	2024-01-08 12:00	0.9725	-6.2
M2001	2024-01-08 13:00	0.8328	-5.5
M2001	2024-01-08 14:00	0.7938	-4.8
M2001	2024-01-08 15:00	0.7693	-4
M2001	2024-01-08 16:00	0.9351	-3.3
M2001	2024-01-08 17:00	1.1776	-2.5
M2001	2024-01-08 18:00	1.7518	-1.9
M2001	2024-01-08 19:00	2.0554	-1.4
M2001	2024-01-08 20:00	1.9444	-1.1
M2001	2024-01-08 21:00	1.5632	-1
M2001	2024-01-08 22:00	1.1396	-1.1
M2001	2024-01-08 23:00	0.7855	-1.4
M2001	2024-01-09 0:00	0.5406	-0.1
M2001	2024-01-09 1:00	0.4538	-0.7
M2001	2024-01-09 2:00	0.5203	-1.5
M2001	2024-01-09 3:00	0.4629	-2.2
M2001	2024-01-09 4:00	0.537	-3
M2001	2024-01-09 5:00	0.6031	-3.7
M2001	2024-01-09 6:00	1.065	-4.4
M2001	2024-01-09 7:00	1.4587	-4.8
M2001	2024-01-09 8:00	1.1106	-5.1
M2001	2024-01-09 9:00	0.9746	-5.2
M2001	2024-01-09 10:00	0.8293	-5.1
M2001	2024-01-09 11:00	0.8712	-4.8
M2001	2024-01-09 12:00	0.8598	-4.4
M2001	2024-01-09 13:00	0.6424	-3.7
M2001	2024-01-09 14:00	0.7892	-3
M2001	2024-01-09 15:00	0.8061	-2.2
M2001	2024-01-09 16:00	0.9288	-1.5
M2001	2024-01-09 17:00	1.3345	-0.7
M2001	2024-01-09 18:00	1.7642	-0.1
M2001	2024-01-09 19:00	1.8682	0.4
M2001	2024-01-09 20:00	1.584	0.7
M2001	2024-01-09 21:00	1.6741	0.8
M2001	2024-01-09 22:00	0.9078	0.7
M2001	2024-01-09 23:00	0.7004	0.4
M2001	2024-01-10 0:00	0.6163	-5.8
M2001	2024-01-10 1:00	0.6259	-6.4
M2001	2024-01-10 2:00	0.5731	-7.1
M2001	2024-01-10 3:00	0.5777	-7.9
M2001	2024-01-10 4:00	0.5283	-8.7
M2001	2024-01-10 5:00	0.7448	-9.4
M2001	2024-01-10 6:00	1.2748	-10
M2001	2024-01-10 7:00	1.453	-10.5
M2001	2024-01-10 8:00	1.1585	-10.8
M2001	2024-01-10 9:00	1.0604	-10.9
M2001	2024-01-10 10:00	0.9178	-10.8
M2001	2024-01-10 11:00	0.9869	-10.5
M2001	2024-01-10 12:00	1.0513	-10
M2001	2024-01-10 13:00	0.8608	-9.4
M2001	2024-01-10 14:00	0.8832	-8.7
M2001	2024-01-10 15:00	0.9938	-7.9
